model_id,z,mu_theory,H0_km_s_Mpc
EdS,0.4287839196,41.50488544,70
open_matter,0.4287839196,41.66328973,70
flat_LCDM,0.4287839196,41.86304189,70
EdS,0.4348090452,41.53726584,70
open_matter,0.4348090452,41.69778472,70
flat_LCDM,0.4348090452,41.89901504,70
EdS,0.4408341709,41.56921816,70
open_matter,0.4408341709,41.73184784,70
flat_LCDM,0.4408341709,41.93452975,70
EdS,0.4468592965,41.60075383,70
open_matter,0.4468592965,41.76549051,70
flat_LCDM,0.4468592965,41.96959776,70
EdS,0.4528844221,41.63188381,70
open_matter,0.4528844221,41.79872368,70
flat_LCDM,0.4528844221,42.00423036,70
EdS,0.4589095477,41.66261863,70
open_matter,0.4589095477,41.83155787,70
flat_LCDM,0.4589095477,42.03843837,70
EdS,0.4649346734,41.69296844,70
open_matter,0.4649346734,41.86400321,70
flat_LCDM,0.4649346734,42.07223223,70
EdS,0.470959799,41.72294295,70
open_matter,0.470959799,41.89606942,70
flat_LCDM,0.470959799,42.10562199,70
EdS,0.4769849246,41.75255155,70
open_matter,0.4769849246,41.92776586,70
flat_LCDM,0.4769849246,42.13861729,70
EdS,0.4830100503,41.78180325,70
open_matter,0.4830100503,41.95910154,70
flat_LCDM,0.4830100503,42.17122746,70
EdS,0.4890351759,41.81070673,70
open_matter,0.4890351759,41.99008514,70
flat_LCDM,0.4890351759,42.20346147,70
EdS,0.4950603015,41.83927036,70
open_matter,0.4950603015,42.02072502,70
flat_LCDM,0.4950603015,42.23532797,70
EdS,0.5010854271,41.86750222,70
open_matter,0.5010854271,42.05102923,70
flat_LCDM,0.5010854271,42.26683532,70
EdS,0.5071105528,41.89541008,70
open_matter,0.5071105528,42.08100554,70
flat_LCDM,0.5071105528,42.29799156,70
EdS,0.5131356784,41.92300144,70
open_matter,0.5131356784,42.11066147,70
flat_LCDM,0.5131356784,42.3288045,70
EdS,0.519160804,41.95028356,70
open_matter,0.519160804,42.14000425,70
flat_LCDM,0.519160804,42.35928164,70
EdS,0.5251859296,41.97726342,70
open_matter,0.5251859296,42.16904086,70
flat_LCDM,0.5251859296,42.38943026,70
EdS,0.5312110553,42.00394779,70
open_matter,0.5312110553,42.19777806,70
flat_LCDM,0.5312110553,42.41925737,70
EdS,0.5372361809,42.0303432,70
open_matter,0.5372361809,42.22622239,70
flat_LCDM,0.5372361809,42.44876978,70
EdS,0.5432613065,42.05645596,70
open_matter,0.5432613065,42.25438014,70
flat_LCDM,0.5432613065,42.47797406,70
EdS,0.5492864322,42.08229218,70
open_matter,0.5492864322,42.28225742,70
flat_LCDM,0.5492864322,42.50687658,70
EdS,0.5553115578,42.10785777,70
open_matter,0.5553115578,42.30986014,70
flat_LCDM,0.5553115578,42.53548351,70
EdS,0.5613366834,42.13315846,70
open_matter,0.5613366834,42.33719402,70
flat_LCDM,0.5613366834,42.56380082,70
EdS,0.567361809,42.15819977,70
open_matter,0.567361809,42.36426459,70
flat_LCDM,0.567361809,42.59183429,70
EdS,0.5733869347,42.18298708,70
open_matter,0.5733869347,42.39107721,70
flat_LCDM,0.5733869347,42.61958955,70
EdS,0.5794120603,42.20752558,70
open_matter,0.5794120603,42.41763707,70
flat_LCDM,0.5794120603,42.64707202,70
EdS,0.5854371859,42.23182031,70
open_matter,0.5854371859,42.44394922,70
flat_LCDM,0.5854371859,42.674287,70
EdS,0.5914623116,42.25587615,70
open_matter,0.5914623116,42.47001853,70
flat_LCDM,0.5914623116,42.70123961,70
EdS,0.5974874372,42.27969784,70
open_matter,0.5974874372,42.49584975,70
flat_LCDM,0.5974874372,42.72793481,70
EdS,0.6035125628,42.30328998,70
open_matter,0.6035125628,42.52144746,70
flat_LCDM,0.6035125628,42.75437745,70
EdS,0.6095376884,42.32665703,70
open_matter,0.6095376884,42.54681613,70
flat_LCDM,0.6095376884,42.7805722,70
EdS,0.6155628141,42.34980332,70
